SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;ID_ESCOLA;NO_ESCOLA;REDE;VL_APROVACAO_2023_SI_4;VL_APROVACAO_2023_1;VL_APROVACAO_2023_2;VL_APROVACAO_2023_3;VL_APROVACAO_2023_4;VL_INDICADOR_REND_2023;VL_NOTA_MATEMATICA_2023;VL_NOTA_PORTUGUES_2023;VL_NOTA_MEDIA_2023;VL_OBSERVADO_2023
RO;1100015.0;Alta Floresta D'Oeste;11024682.0;EEEFM EURIDICE LOPES PEDROSO;Estadual;98;98.6;96.2;99.1;-;0.979502;254.41;253.38;4.055802;4
RO;1100015.0;Alta Floresta D'Oeste;11024968.0;EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA;Estadual;97.5;95.2;100;100;-;0.983471;306.56;300.31;5.490791;5.4
RO;1100015.0;Alta Floresta D'Oeste;11025638.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI;Estadual;97.4;95.1;100;100;-;0.983115;285.14;288.04;5.006266;4.9
RO;1100023.0;Ariquemes;11006773.0;EEEFM CORA CORALINA;Estadual;61.6;54.6;52.4;74.2;-;0.589668;256.07;254.76;4.099775;2.4
RO;1100023.0;Ariquemes;11006889.0;EEEFM ANISIO TEIXEIRA;Estadual;89;90.7;87.1;88.9;-;0.888757;264.11;261.11;4.307757;3.8
RO;1100023.0;Ariquemes;11007168.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III;Estadual;95;93.4;100;93;-;0.953612;268.52;268.2;4.475833;4.3
RO;1100023.0;Ariquemes;11007656.0;COLEGIO DINAMICO EDUCACAO BASICA;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100023.0;Ariquemes;11007885.0;EEEMTI HEITOR VILLA-LOBOS;Estadual;99.1;99.2;98.8;99.1;-;0.99033;289.4;291.49;5.117744;5.1
RO;1100023.0;Ariquemes;11007893.0;EEEFM RICARDO CANTANHEDE;Estadual;97.9;97.2;98;98.9;-;0.980284;271.57;276.41;4.641574;4.6
RO;1100023.0;Ariquemes;11048620.0;EEEFM PROFESSORA CARMEM IONE DE ARAUJO;Estadual;80.4;75.3;85.1;93.8;-;0.840523;264.64;277.42;4.559362;3.8
RO;1100023.0;Ariquemes;11050233.0;EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA;Estadual;91.9;87.8;93.8;100;-;0.936023;263.42;269.42;4.422467;4.1
RO;1100023.0;Ariquemes;11108800.0;IFRO - CAMPUS ARIQUEMES;Federal;93.2;90.6;94.3;96.4;-;0.937048;ND;ND;-;-
RO;1100031.0;Cabixi;11034270.0;EEEFM PLANALTO;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100031.0;Cabixi;11034440.0;EEEFM JOSE DE ANCHIETA;Estadual;97.9;97.8;98.4;97.4;-;0.978649;262.44;256.32;4.212595;4.1
RO;1100049.0;Cacoal;11025670.0;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;Privada;-;-;-;-;-;-;-;-;-;-
