NU_ANO_CENSO;NO_REGIAO;SG_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_SITUACAO_FUNCIONAMENTO;IN_AGUA_POTAVEL;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_BANHEIRO;IN_BIBLIOTECA;IN_COZINHA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_QUADRA_ESPORTES;IN_REFEITORIO;IN_SALA_DIRETORIA;IN_SALA_LEITURA;IN_SALA_PROFESSOR;IN_SECRETARIA;IN_SALA_ATENDIMENTO_ESPECIAL;IN_COMPUTADOR;QT_DESKTOP_ALUNO;QT_COMP_PORTATIL_ALUNO;QT_TABLET_ALUNO;IN_INTERNET;IN_ALIMENTACAO;IN_MED;QT_MAT_MED;QT_DOC_MED;QT_TUR_MED;QT_TUR_MED_INT
2023;Norte;RO;Porto Velho;1100205;CENTRO DE ENSINO CLASSE A;11000058;4;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;44.0;0.0;0.0;1.0;0.0;1.0;354.0;29.0;8.0;0.0
2023;Norte;RO;Porto Velho;1100205;COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS;11000198;4;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;72.0;23.0;25.0;1.0;0.0;1.0;217.0;31.0;6.0;0.0
2023;Norte;RO;Porto Velho;1100205;COLEGIO SAPIENS - UNIDADE JARDIM AMERICA;11000252;4;1;1;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;25.0;1.0;0.0;1.0;100.0;27.0;4.0;0.0
2023;Norte;RO;Porto Velho;1100205;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM I;11000260;2;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;10.0;0.0;0.0;1.0;1.0;1.0;330.0;25.0;14.0;0.0
2023;Norte;RO;Porto Velho;1100205;EEEFM DR JOSE OTINO DE FREITAS;11000317;2;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;19.0;5.0;0.0;1.0;1.0;1.0;46.0;12.0;2.0;0.0
2023;Norte;RO;Porto Velho;1100205;COLEGIO ADVENTISTA DE PORTO VELHO;11000350;4;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4.0;0.0;13.0;1.0;0.0;1.0;189.0;15.0;7.0;0.0
2023;Norte;RO;Porto Velho;1100205;EEEMTI 4 DE JANEIRO;11000384;2;1;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;19.0;0.0;0.0;1.0;1.0;1.0;232.0;18.0;9.0;9.0
2023;Norte;RO;Porto Velho;1100205;EEEFM PROFESSORA ANTONIA VIEIRA FROTA;11000457;2;1;1;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;30.0;500.0;0.0;1.0;1.0;1.0;282.0;31.0;9.0;0.0
2023;Norte;RO;Porto Velho;1100205;EEEFM BANDEIRANTES;11000554;2;1;1;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;30.0;22.0;0.0;1.0;1.0;1.0;194.0;32.0;7.0;0.0
2023;Norte;RO;Porto Velho;1100205;EEEMTI BRASILIA;11000678;2;1;1;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;36.0;0.0;0.0;1.0;1.0;1.0;414.0;19.0;12.0;12.0
