NU_ANO_SAEB;CO_UF;SG_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;CO_ENTIDADE;NO_ESCOLA;TP_TIPO_REDE;TP_LOCALIZACAO;TP_CAPITAL;QTD_ALUNOS_INSE;MEDIA_INSE;INSE_CLASSIFICACAO;PC_NIVEL_1;PC_NIVEL_2;PC_NIVEL_3;PC_NIVEL_4;PC_NIVEL_5;PC_NIVEL_6;PC_NIVEL_7;PC_NIVEL_8
2023;11;RO;Rondônia;1100015;Alta Floresta D'Oeste;11024682;EEEFM EURIDICE LOPES PEDROSO;2;1;2;166;4.91;Nível IV;0.0;13.32;17.68;23.27;23.92;13.2;7.7;0.9
2023;11;RO;Rondônia;1100015;Alta Floresta D'Oeste;11024968;EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA;2;1;2;146;5.21;Nível V;0.0;6.07;10.47;24.41;24.04;16.09;17.35;1.56
2023;11;RO;Rondônia;1100015;Alta Floresta D'Oeste;11025638;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI;2;1;2;191;4.96;Nível IV;0.66;9.35;18.63;24.77;23.37;12.6;8.8;1.82
2023;11;RO;Rondônia;1100023;Ariquemes;11006773;EEEFM CORA CORALINA;2;1;2;409;5.07;Nível V;0.0;7.28;12.65;31.17;21.85;15.47;10.4;1.18
2023;11;RO;Rondônia;1100023;Ariquemes;11006889;EEEFM ANISIO TEIXEIRA;2;1;2;494;4.8;Nível IV;0.51;11.03;20.5;33.47;19.92;9.4;4.92;0.24
2023;11;RO;Rondônia;1100023;Ariquemes;11007168;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III;2;1;2;215;5.1;Nível V;0.0;3.83;16.37;30.91;22.19;15.47;8.66;2.58
2023;11;RO;Rondônia;1100023;Ariquemes;11007885;EEEMTI HEITOR VILLA LOBOS;2;1;2;127;5.2;Nível V;0.0;4.7;12.19;22.54;26.74;16.96;16.87;0.0
2023;11;RO;Rondônia;1100023;Ariquemes;11007893;EEEFM RICARDO CANTANHEDE;2;1;2;335;5.07;Nível V;0.37;9.58;14.77;25.02;23.39;12.46;11.24;3.17
2023;11;RO;Rondônia;1100023;Ariquemes;11048620;EEEMTI PROFESSORA CARMEM IONE DE ARAUJO;2;1;2;191;4.68;Nível IV;0.0;12.11;27.66;32.81;18.61;5.72;3.1;0.0
2023;11;RO;Rondônia;1100023;Ariquemes;11050233;EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA;2;2;2;105;4.73;Nível IV;0.0;17.28;21.86;26.15;21.72;10.11;2.88;0.0
2023;11;RO;Rondônia;1100023;Ariquemes;11108800;IFRO - CAMPUS ARIQUEMES;1;2;2;153;5.04;Nível V;0.0;8.03;10.44;27.08;36.31;9.01;7.83;1.28
2023;11;RO;Rondônia;1100031;Cabixi;11034270;EEEFM PLANALTO;2;2;2;17;4.85;Nível IV;0.0;6.67;26.67;26.67;26.67;13.33;0.0;0.0
